run_number	val_auc	val_f1	num_features	run_time_sec	status	description
1	0.891852	0.640327	65	0.083	keep	iter1_logreg_balanced | model=LogisticRegression; C=1.0, class_weight=balanced, max_iter=2000, penalty=deprecated, random_state=42, solver=lbfgs
2	0.915401	0.655008	65	2.203	keep	iter2_random_forest | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=350, random_state=42
3	0.915381	0.635548	65	4.431	discard	iter3_hgb_dense_ohe | model=HistGradientBoostingClassifier; class_weight=None, l2_regularization=0.1, learning_rate=0.05, max_depth=6, max_features=1.0, max_iter=300, min_samples_leaf=20, random_state=42
4	0.915823	0.657143	65	2.323	keep	iter4_rf_500_leaf2 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
5	0.912484	0.600000	65	3.255	discard	iter5_rf_500_leaf1 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=1, min_samples_split=2, n_estimators=500, random_state=42
6	0.915588	0.657143	65	4.121	discard	iter6_rf_700_leaf2 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=700, random_state=42
7	0.917215	0.653846	65	2.934	keep	iter7_rf_entropy | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
8	0.914768	0.660465	65	2.483	discard	iter8_rf_log2 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=log2, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
9	0.915210	0.656347	65	2.613	discard	iter9_rf_depth20 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=20, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
10	0.915818	0.683432	65	2.533	discard	iter10_rf_leaf3 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=3, min_samples_split=2, n_estimators=500, random_state=42
